variable,or,se,ll,ul,p.value,race,model
as.numeric(math_4level),1.7558796797538683,0.17480755335395293,1.2460255264217324,2.4743581767754494,0.0012796145208660015,Latinx,weighted
as.numeric(par_exp),1.3726651642951573,0.08572769350909323,1.1602645365871314,1.623948327173537,2.1998373935905313e-4,Latinx,weighted
as.numeric(par_sch_inv),1.2362014575703264,0.07148288222811991,1.074572746761128,1.422141077284095,0.0030135609471089175,Latinx,weighted
female1,1.1877173678867148,0.19326215131585542,0.8129365850722035,1.7352799368162926,0.3733826179487889,Latinx,weighted
par_ba,1.3346755312529364,0.22415387309879642,0.8600308056940257,2.071273217112021,0.19778008994171636,Latinx,weighted
as.factor(first_lang)2,0.8090820333932177,0.2799111809514952,0.4673081207128629,1.4008182347893132,0.44913076713487543,Latinx,weighted
as.factor(first_lang)3,0.7259949578769155,0.2943465300332449,0.4076883206513814,1.2928226102248495,0.2766503271935825,Latinx,weighted
frpl1,0.7827585824351261,0.2556149634022795,0.47420042486269615,1.2920928920577355,0.3379605436293063,Latinx,weighted
math_score,1.0962118363049282,0.01621626308762919,1.061905043268752,1.1316269733082862,1.4727215447152275e-8,Latinx,weighted
public,1.7430964092357641,0.3009618935079778,0.9663545375403311,3.144172220295294,0.06485004006374817,Latinx,weighted
as.factor(x1locale)2,1.1118009392203414,0.25467939742358536,0.6748227816524733,1.8317421433584804,0.6773107682072137,Latinx,weighted
as.factor(x1locale)3,0.6625520973980364,0.37095952541058097,0.31999005317880275,1.371840397555259,0.26712564879497425,Latinx,weighted
as.factor(x1locale)4,0.9523647564849477,0.28342423067154765,0.5463066112526509,1.660237329573838,0.8632760887956457,Latinx,weighted
(Intercept),1.8406601095476892e-4,1.2771880955425374,1.50548476060218e-5,0.002250457611756183,1.6538992397840957e-11,Multiracial,weighted
as.numeric(math_4level),2.0133127979715675,0.17669701625183093,1.4236163842605034,2.847275760022706,7.484088687026436e-5,Multiracial,weighted
as.numeric(par_exp),1.4571820097035606,0.11313275160996074,1.1671437268627676,1.819295567917124,8.74756329219295e-4,Multiracial,weighted
as.numeric(par_sch_inv),1.1202399687464881,0.07982173646851827,0.9579065526908229,1.310083519161582,0.15489387179472303,Multiracial,weighted
female1,1.4075393204426037,0.21450005135144765,0.9243117704418237,2.1433968515244843,0.11100921455681356,Multiracial,weighted
par_ba,1.2893574463157509,0.2134288672780101,0.8485175358933028,1.9592319003987195,0.23374518005011335,Multiracial,weighted
as.factor(first_lang)2,0.8650787228153259,0.7882806058587377,0.18453119212167904,4.055472617194874,0.8541217973516952,Multiracial,weighted
as.factor(first_lang)3,0.5728200249368721,0.9283810098636388,0.0928492537925805,3.5339301886225694,0.5483949019508247,Multiracial,weighted
frpl1,0.66399618693956175,0.2363197710496783,0.41776310368273745,1.0553611182597493,0.0831432820429876,Multiracial,weighted
math_score,1.095570445074322,0.01687848059452151,1.0599018140181835,1.1324394243368627,6.38092130245127e-8,Multiracial,weighted
public,1.1646258739896012,0.361756041110567,0.5731213454508858,2.366607764886113,0.6735520209260324,Multiracial,weighted
as.factor(x1locale)2,1.0402947790262795,0.2928571459018082,0.5858794151625055,1.8471603529015646,0.8926971885782697,Multiracial,weighted
as.factor(x1locale)3,0.4391112921005935,0.5011326110220677,0.1644309355078751,1.172642643275712,0.10053103063611335,Multiracial,weighted
as.factor(x1locale)4,0.8195849202007448,0.31817234070437905,0.43918192372313103,1.5294787994141728,0.5317657301112639,Multiracial,weighted
(Intercept),3.4661288480360126e-4,0.5494739082958808,1.1806211258737922e-4,0.001017604117688112,0,White,weighted
as.numeric(math_4level),1.9008062998844772,0.07931014635666421,1.6270852460929999,2.2205748582357954,6.661338147750939e-16,White,weighted
as.numeric(par_exp),1.4388439788773828,0.04177627955862071,1.3257172164731255,1.5616241305663594,0,White,weighted
as.numeric(par_sch_inv),1.0658286437041578,0.026538107131380807,1.0117851802562663,1.1227587830971386,0.016292221618910974,White,weighted
female1,1.4284882518221176,0.07548510550766153,1.2320132224209106,1.6562960920046497,2.3087269449550973e-6,White,weighted
par_ba,1.2973492520480971,0.10185190975923868,1.062564012856479,1.5840128796241248,0.01059140007142556,White,weighted
as.factor(first_lang)2,0.8060600934606762,0.34408056713919893,0.41066072860268826,1.5821646167156311,0.5309289033769629,White,weighted
as.factor(first_lang)3,0.7928059423724564,0.45607856406004516,0.3242962625384719,1.9381699232087621,0.6107017975565259,White,weighted
frpl1,0.7065242912124423,0.10697994484134361,0.5728376790929062,0.8714101608394454,0.0011649893229821462,White,weighted
math_score,1.0811876874861417,0.006737044022245502,1.06700470598383,1.0955591938967006,0,White,weighted
public,2.262169951522359,0.16748983435841877,1.6291128033580649,3.141226856128212,1.0943027290988283e-6,White,weighted
as.factor(x1locale)2,0.8250683088152295,0.12085476297137987,0.6510536482114915,1.0455938862815322,0.11159250154678269,White,weighted
as.factor(x1locale)3,0.6606305018581357,0.24306648900209388,0.4102555740988178,1.0638067768951485,0.08809301172094242,White,weighted
as.factor(x1locale)4,0.6098982356494448,0.18534014818646558,0.4241250887390393,0.8770428058246262,0.007633410459007228,White,weighted
